2025-04-25 16:59:01.645 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 16:59:07.407 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 16:59:28.474 +07 | ERROR    | Line  107 (streamlit_app.py): [App Error] module 'whisper' has no attribute 'load_model'
2025-04-25 17:07:21.015 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:07:25.897 +07 | ERROR    | Line  107 (streamlit_app.py): [App Error] module 'whisper' has no attribute 'load_model'
2025-04-25 17:11:29.800 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:11:33.324 +07 | ERROR    | Line  107 (streamlit_app.py): [App Error] module 'whisper' has no attribute 'load_model'
2025-04-25 17:50:35.736 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:50:40.288 +07 | ERROR    | Line  107 (streamlit_app.py): [App Error] module 'whisper' has no attribute 'load_model'
2025-04-25 17:53:16.624 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:53:20.478 +07 | ERROR    | Line  105 (streamlit_app.py): [App Error] module 'whisper' has no attribute 'load_model'
2025-04-25 17:55:30.209 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:55:39.432 +07 | ERROR    | Line  105 (streamlit_app.py): [App Error] Failed to import transformers.integrations.integration_utils because of the following error (look up to see its traceback):
Failed to import transformers.modeling_tf_utils because of the following error (look up to see its traceback):
Your currently installed version of Keras is Keras 3, but this is not yet supported in Transformers. Please install the backwards-compatible tf-keras package with `pip install tf-keras`.
2025-04-25 17:56:24.632 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 17:56:46.380 +07 | INFO     | Line   43 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 17:56:51.478 +07 | ERROR    | Line   58 (video_processor.py): Download failed: [0;31mERROR:[0m You have requested merging of multiple formats but ffmpeg is not installed. Aborting due to --abort-on-error
2025-04-25 17:56:51.480 +07 | ERROR    | Line  105 (streamlit_app.py): [App Error] [0;31mERROR:[0m You have requested merging of multiple formats but ffmpeg is not installed. Aborting due to --abort-on-error
2025-04-25 18:03:10.349 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 18:03:24.291 +07 | INFO     | Line   43 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 18:04:06.137 +07 | INFO     | Line   55 (video_processor.py): Downloaded to /tmp/video_chatbot_smisg1gi/4fdde170-a375-4cc5-887d-ab4be1b2e6a3.mp4
2025-04-25 18:04:15.104 +07 | ERROR    | Line  136 (video_processor.py): TransNetV2 extraction failed: ffmpeg error (see stderr output for detail)
2025-04-25 18:04:15.107 +07 | ERROR    | Line  105 (streamlit_app.py): [App Error] ffmpeg error (see stderr output for detail)
2025-04-25 18:13:22.054 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 18:13:35.431 +07 | INFO     | Line   43 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 18:14:16.846 +07 | INFO     | Line   55 (video_processor.py): Downloaded to /tmp/video_chatbot_cuvubgv4/7756cb40-219f-4757-8273-d32da3656d75.mp4
2025-04-25 18:14:21.687 +07 | ERROR    | Line  136 (video_processor.py): TransNetV2 extraction failed: ffmpeg error (see stderr output for detail)
